ID,MakeText,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
954.0,AUDI,RS6,silber mét.,Kombi,4172,Zuzwil,null,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,schwarz,46900,"\"Ab MFK\"",5,Automat sequentiell
1126.0,MAZDA,MX-5,weiss,Cabriolet,1798,Zuzwil,174 g/km,Occasion,G,7.3 l/100km,2,Hinterradantrieb,3,2007,Benzin,126,schwarz,6900,"\"Ab MFK\"",2,Schaltgetriebe manuell
231.0,MERCEDES-BENZ,S 320,gelb,Limousine,3199,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,4,1999,Benzin,224,schwarz,128000,"\"Ab MFK\"",5,Automat
43.0,MERCEDES-BENZ,SL 500,beige mét.,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1996,Benzin,320,blau,34000,"\"Ab MFK\"",0,Automat
475.0,MERCEDES-BENZ,C 350,rot,Limousine,3498,Zuzwil,253 g/km,Occasion,G,10.6 l/100km,4,Allrad,11,2006,Benzin,272,schwarz,43700,"\"Ab MFK\"",5,Automat
570.0,AUDI,RS6,schwarz,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2009,Benzin,700,schwarz,29500,"\"Ab MFK\"",5,Automat
845.0,VW,TOUAREG,silber,SUV / Geländewagen,4921,Zuzwil,332 g/km,Occasion,G,12.3 l/100km,5,Allrad,11,2003,Diesel,313,schwarz,117800,"\"Ab MFK\"",5,Automat
186.0,AUDI,A8,blau mét.,Limousine,5998,Zuzwil,334 g/km,Occasion,G,13.9 l/100km,4,Allrad,7,2004,Benzin,450,schwarz,49000,"\"Ab MFK\"",5,Automat sequentiell
247.0,JAGUAR,S-TYPE,grau,Limousine,4196,Zuzwil,314 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,7,2002,Benzin,396,schwarz,32900,"\"Ab MFK\"",5,Automat
413.0,BMW,633,grün mét.,Coupé,3208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1977,Benzin,200,mehrfarbig,128600,"\"Ab MFK\"",4,Automatik-Getriebe
45.0,AUDI,S4,blau,Kombi,2671,Zuzwil,274 g/km,Occasion,null,11.4 l/100km,5,Allrad,7,2000,Benzin,265,grau,185900,"\"Ab MFK\"",5,Schaltgetriebe manuell
595.0,ASTON MARTIN,V8 Vantage,schwarz,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2007,Benzin,385,schwarz,35500,"\"Ab MFK\"",2,Schaltgetriebe manuell
871.0,BENTLEY,ARNAGE,silber mét.,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,4,2000,Benzin,354,beige,42300,"\"Ab MFK\"",5,Automat
926.0,MERCEDES-BENZ,SL 500,silber mét.,Cabriolet,5956,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1991,Benzin,380,blau,98000,"\"Ab MFK\"",4,Automatik-Getriebe
1153.0,AUDI,RS6,weiss mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,3,2004,Benzin,450,schwarz,55000,"\"Ab MFK\"",5,Automat sequentiell
34.0,MERCEDES-BENZ,S 65 AMG,anthrazit mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,612,schwarz,97300,"\"Ab MFK\"",5,Automat sequentiell
453.0,AUDI,RS6,rot,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,9,2003,Benzin,450,beige,47000,"\"Ab MFK\"",5,Automat sequentiell
1058.0,LAMBORGHINI,MURCIÉLAGO,silber mét.,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,null,9000,"\"Ab MFK\"",2,Schaltgetriebe manuell
1070.0,BENTLEY,CONTINENTAL,silber mét.,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,schwarz,5000,"\"Ab MFK\"",4,Automat
189.0,BMW,M3,blau mét.,Cabriolet,3246,Zuzwil,328 g/km,Occasion,G,13.6 l/100km,2,Hinterradantrieb,3,2002,Benzin,343,schwarz,142000,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
340.0,MERCEDES-BENZ,E 500,grau mét.,Limousine,4966,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,5,2003,Benzin,306,beige,29200,"\"Ab MFK\"",5,Automat sequentiell
596.0,BMW-ALPINA,5 SERIES,schwarz,Limousine,4395,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,6,2012,Benzin,507,schwarz,4950,"\"Ab MFK\"",5,Automat sequentiell
708.0,MERCEDES-BENZ,CL 65 AMG,schwarz mét.,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,2,2004,Benzin,612,schwarz,48300,"\"Ab MFK\"",4,Automat sequentiell
878.0,MERCEDES-BENZ,S 500,silber mét.,Limousine,5461,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,4,Hinterradantrieb,2,2009,Benzin,388,beige,52000,"\"Ab MFK\"",5,Automat sequentiell
1145.0,MERCEDES-BENZ,SL 500,weiss mét.,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,anthrazit,15600,"\"Ab MFK\"",2,Automat
310.0,RENAULT,"",grau mét.,Kleinwagen,0,Zuzwil,null,Oldtimer,null,null,0,null,4,1969,null,0,schwarz,45000,"\"Ab MFK\"",0,Schaltgetriebe
586.0,BMW-ALPINA,5 SERIES,schwarz,Limousine,4619,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,347,schwarz,94400,"\"Ab MFK\"",5,Automat
151.0,MASERATI,QUATTROPORTE,blau mét.,Limousine,4691,Zuzwil,365 g/km,Occasion,G,15.7 l/100km,4,Hinterradantrieb,2,2009,Benzin,431,beige,96000,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automat sequentiell
614.0,VW,PHAETON,schwarz mét.,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,10,2002,Benzin,420,blau,50400,"\"Ab MFK\"",4,Automat sequentiell
828.0,BMW,"",schwarz mét.,Coupé,2315,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1979,Benzin,143,blau,157400,null,5,Schaltgetriebe
854.0,ASTON MARTIN,DB9,silber,Coupé,5935,Zuzwil,394 g/km,Occasion,G,16.5 l/100km,2,Hinterradantrieb,1,2005,Benzin,457,schwarz,40800,"\"Ab MFK\"",4,Automat sequentiell
990.0,LAMBORGHINI,AVENTADOR,silber mét.,Cabriolet,6498,Sursee,370 g/km,Occasion,G,16.0 l/100km,2,Allrad,1,2014,Benzin,700,schwarz,150,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
1061.0,BMW,M3,silber mét.,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,null,35000,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
321.0,FORD,"",grau mét.,Coupé,2884,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1927,Benzin,0,schwarz,1,null,2,Schaltgetriebe
5.0,PORSCHE,CAYENNE,anthrazit,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2010,Benzin,500,schwarz,2900,"\"Ab MFK\"",5,Automat sequentiell
51.0,FERRARI,456,blau,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,grau,46500,"\"Ab MFK\"",4,Schaltgetriebe manuell
798.0,MASERATI,GHIBLI,schwarz mét.,Coupé,2788,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1996,Benzin,284,beige,40600,"\"Ab MFK\"",5,Automat
815.0,MERCEDES-BENZ,C 63 AMG,schwarz mét.,Coupé,6208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2012,Benzin,517,schwarz,500,"\"Ab MFK\"",2,Automatik-Getriebe
931.0,MERCEDES-BENZ,300,silber mét.,Coupé,2995,Sursee,null,Occasion,null,null,2,Hinterradantrieb,5,1955,null,215,rot,5000,null,0,Schaltgetriebe
374.0,BMW,M3,grün,Cabriolet,3246,Zuzwil,328 g/km,Occasion,null,13.6 l/100km,2,Hinterradantrieb,12,2002,Benzin,343,braun,52900,"\"Ab MFK\"",4,Automatik-Getriebe
46.0,LAMBORGHINI,MURCIÉLAGO,blau,Coupé,6192,Zuzwil,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,5,2002,Benzin,580,schwarz,16000,"\"Ab MFK\"",2,Schaltgetriebe manuell
486.0,MERCEDES-BENZ,SL 500,rot,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,320,grau,117900,"\"Ab MFK\"",2,Automat
624.0,MERCEDES-BENZ,CLS 500,schwarz mét.,Limousine,4966,Zuzwil,290 g/km,Occasion,G,12.1 l/100km,4,Hinterradantrieb,1,2005,Benzin,306,schwarz,21300,"\"Ab MFK\"",4,Automat sequentiell
657.0,RENAULT,Alpine A110,schwarz mét.,Coupé,1288,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1973,Benzin,0,null,85000,"\"Ab MFK\"",2,Schaltgetriebe
678.0,MERCEDES-BENZ,600-SERIES,schwarz mét.,Sattelschlepper,3972,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Diesel,105,null,65400,null,2,Schaltgetriebe
939.0,CHEVROLET,CORVETTE,silber mét.,Coupé,6162,Zuzwil,316 g/km,Occasion,G,13.3 l/100km,2,Hinterradantrieb,3,2008,Benzin,437,schwarz,33000,"\"Ab MFK\"",2,Schaltgetriebe manuell
984.0,PORSCHE,911,silber mét.,Coupé,2994,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1983,Benzin,204,schwarz,134000,"\"Ab MFK\"",4,Schaltgetriebe
1031.0,PORSCHE,911,silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,blau,60800,"\"Ab MFK\"",4,Schaltgetriebe manuell
1152.0,LAMBORGHINI,"",weiss mét.,Coupé,6496,Porrentruy,null,Occasion,G,null,2,Allrad,4,2008,Benzin,650,grau,5900,"\"Ab MFK\"",2,Automatik-Getriebe
124.0,FERRARI,F360,blau mét.,Coupé,3586,Porrentruy,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,11,2003,Benzin,400,bordeaux,42500,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
306.0,VW,PHAETON,grau mét.,Limousine,4172,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Allrad,11,2003,Benzin,335,schwarz,119000,"\"Ab MFK\"",5,Automat sequentiell
359.0,LAND ROVER,RANGE ROVER,grau mét.,SUV / Geländewagen,3530,Zuzwil,null,Occasion,null,null,5,Allrad,3,1989,Benzin,168,grau,151300,null,5,Schaltgetriebe
405.0,FERRARI,MONDIAL,grün mét.,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,braun,56500,"\"Ab MFK\"",4,Schaltgetriebe manuell
451.0,DODGE,VIPER,rot,Cabriolet,7990,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,2001,Benzin,800,schwarz,18600,"\"Ab MFK\", \"Tuning\"",2,Schaltgetriebe
615.0,LAMBORGHINI,DIABLO,schwarz mét.,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,2000,Benzin,492,schwarz,20600,"\"Ab MFK\"",2,Schaltgetriebe manuell
62.0,PORSCHE,911,blau,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,12,2002,Benzin,462,schwarz,61300,"\"Ab MFK\", \"Tuning\"",4,Schaltgetriebe manuell
83.0,MERCEDES-BENZ,CL 500,blau,Coupé,5461,Zuzwil,288 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,9,2006,Benzin,388,schwarz,15100,"\"Ab MFK\"",4,Automat sequentiell
904.0,RENAULT,ALPINE,silber mét.,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1981,Benzin,150,grau,139200,"\"Ab MFK\"",4,Schaltgetriebe manuell
907.0,MERCEDES-BENZ,CL 55 AMG,silber mét.,Coupé,5439,Zuzwil,317 g/km,Occasion,G,13.2 l/100km,2,Hinterradantrieb,11,2002,Benzin,500,schwarz,48300,"\"Ab MFK\"",4,Automat
949.0,FORD,"",silber mét.,Coupé,2100,Zuzwil,null,Occasion,null,null,2,Allrad,8,1986,Benzin,600,null,1000,null,2,Schaltgetriebe
131.0,MERCEDES-BENZ,S 55 AMG,blau mét.,Limousine,5439,Zuzwil,310 g/km,Occasion,G,13.0 l/100km,4,Hinterradantrieb,2,1999,Benzin,360,schwarz,96500,"\"Ab MFK\"",5,Automat
168.0,SUBARU,IMPREZA,blau mét.,Limousine,2457,Zuzwil,244 g/km,Occasion,G,10.3 l/100km,4,Allrad,4,2006,Benzin,230,schwarz,161500,"\"Ab MFK\"",5,Schaltgetriebe manuell
542.0,MERCEDES-BENZ,CLS 63 AMG,schwarz,Limousine,5461,Zuzwil,231 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2011,Benzin,525,beige,69200,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
603.0,CHEVROLET,CORVETTE,schwarz mét.,Cabriolet,5730,Zuzwil,null,Occasion,null,13.1 l/100km,2,Hinterradantrieb,7,1994,Benzin,282,schwarz,68200,"\"Ab MFK\"",2,Automat
682.0,MERCEDES-BENZ,SL 55 AMG,schwarz mét.,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,4,2002,Benzin,476,beige,31200,"\"Ab MFK\"",2,Automat
726.0,PORSCHE,911,schwarz mét.,Cabriolet,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,4,2008,Benzin,480,braun,35500,"\"Ab MFK\"",2,Schaltgetriebe manuell
1054.0,MERCEDES-BENZ,SL 500,silber mét.,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,schwarz,27600,"\"Ab MFK\"",0,Automat
25.0,AUDI,RS6,anthrazit mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,schwarz,32800,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell
342.0,PORSCHE,BOXSTER,grau mét.,Cabriolet,3179,Zuzwil,263 g/km,Occasion,G,10.7 l/100km,2,Hinterradantrieb,7,2000,Benzin,252,schwarz,51000,"\"Ab MFK\"",2,Schaltgetriebe manuell
395.0,LEXUS,GS,grün mét.,Limousine,3456,Zuzwil,186 g/km,Occasion,F,7.9 l/100km,4,Hinterradantrieb,7,2006,Benzin/Elektro,296,schwarz,34000,"\"Ab MFK\"",5,Automat stufenlos
1100.0,MERCEDES-BENZ,S 500,weiss,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,schwarz,62300,"\"Ab MFK\"",5,Automat sequentiell
195.0,MITSUBISHI,LANCER,bordeaux,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,7,2003,Benzin,280,schwarz,35200,"\"Ab MFK\"",5,Schaltgetriebe manuell
348.0,MERCEDES-BENZ,S 65 AMG,grau mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,9,2006,Benzin,612,grau,130000,"\"Ab MFK\"",5,Automat sequentiell
393.0,ASTON MARTIN,DBS,grün mét.,Cabriolet,5935,Zuzwil,388 g/km,Occasion,G,16.4 l/100km,2,Hinterradantrieb,4,2010,Benzin,517,schwarz,71300,"\"Ab MFK\"",2,Automat sequentiell
703.0,NISSAN,Skyline,schwarz mét.,Coupé,2568,Zuzwil,null,Occasion,null,null,2,Allrad,1,2002,Benzin,800,null,15000,"\"Tuning\"",2,Schaltgetriebe
886.0,LAND ROVER,RANGE ROVER,silber mét.,SUV / Geländewagen,4999,Zuzwil,348 g/km,Occasion,G,14.9 l/100km,5,Allrad,10,2010,Benzin,510,schwarz,9000,"\"Ab MFK\"",5,Automat
897.0,RENAULT,ALPINE,silber mét.,Coupé,2962,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1992,Benzin,250,anthrazit,71600,"\"Ab MFK\"",4,Schaltgetriebe manuell
158.0,BMW-ALPINA,6 SERIES,blau mét.,Cabriolet,4398,Zuzwil,306 g/km,Occasion,G,12.8 l/100km,2,Hinterradantrieb,4,2007,Benzin,500,beige,66800,"\"Ab MFK\"",4,Automat
556.0,MERCEDES-BENZ,SL 320,schwarz,Cabriolet,3199,Zuzwil,317 g/km,Occasion,null,13.4 l/100km,2,Hinterradantrieb,1,1999,Benzin,231,schwarz,70900,"\"Ab MFK\"",2,Automat
783.0,AUDI,A4,schwarz mét.,Kombi,2976,Zuzwil,233 g/km,Occasion,null,9.7 l/100km,5,Vorderradantrieb,8,2002,Benzin,220,schwarz,101900,"\"Ab MFK\"",5,Automatik-Getriebe
913.0,ROLLS-ROYCE,CORNICHE,silber mét.,Cabriolet,6761,Zuzwil,456 g/km,Occasion,G,17.8 l/100km,2,Hinterradantrieb,6,2002,Benzin,329,beige,42000,"\"Ab MFK\"",4,Automat
1084.0,AUDI,A8,weiss,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,beige,101300,"\"Ab MFK\"",5,Automat sequentiell
215.0,MORGAN,4/4,gelb,Cabriolet,1796,Zuzwil,null,Occasion,G,7.7 l/100km,2,Hinterradantrieb,6,2006,Benzin,126,bordeaux,7100,"\"Ab MFK\", \"Direkt-/Parallelimport\"",2,Schaltgetriebe manuell
264.0,PORSCHE,CAYENNE,grau,SUV / Geländewagen,4806,Zuzwil,358 g/km,Occasion,G,14.9 l/100km,5,Allrad,8,2008,Benzin,500,braun,28000,"\"Ab MFK\"",5,Automat
283.0,MASERATI,COUPÉ GT,grau mét.,Coupé,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,braun,114800,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
423.0,MERCEDES-BENZ,SL 55 AMG,grün mét.,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,5,2002,Benzin,476,anthrazit,33400,"\"Ab MFK\"",2,Automat
438.0,MERCEDES-BENZ,"",orange,Cabriolet,6000,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1992,Benzin,380,schwarz,89100,"\"Ab MFK\"",4,Automatik-Getriebe
