carType,city,color,condition,country,currency,drive,fuel_consumption_unit,make,manufacture_month,manufacture_year,mileage,mileage_unit,modal,modal_variant,price_on_request,targetData,target_city,target_color,target_make,type,zip
"",Zuzwil,White,"","","","","",Maserati,"","",0,"",SPYDER GT,Cabriolet,false,MisMatch,"","","",car,""
"",Zuzwil,White,"","","","","",Maserati,"","",0,"",COUPÉ GT,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Seat,"","",0,"",IBIZA,Kleinwagen,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Seat,"","",0,"",LEON,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Mclaren,"","",0,"",12C,Coupé,false,Match,Zuzwil,Silver,McLaren,car,""
"",Zuzwil,Silver,"","","","","",Mclaren,"","",0,"",12C,Coupé,false,Match,Zuzwil,Silver,McLaren,car,""
"",Zuzwil,Black,"","","","","",Nissan,"","",0,"",Skyline,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Nissan,"","",0,"",MURANO,SUV / Geländewagen,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Nissan,"","",0,"",SUNNY,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",750,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",2002,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M5,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"","",Coupé,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",328,Cabriolet,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",320,Kombi,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",320,Kombi,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",740,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",135,Cabriolet,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",525,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M6,Coupé,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M5,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",540,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",530,Kombi,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",X5,SUV / Geländewagen,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",525,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M6,Cabriolet,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",330,Coupé,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M6,Cabriolet,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",X5,SUV / Geländewagen,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",740,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",X5,SUV / Geländewagen,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",760,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",X5,SUV / Geländewagen,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M3,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",523,Kombi,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",550,Kombi,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",X5,SUV / Geländewagen,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",730,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",535,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",528,Kombi,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",740,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M5,Limousine,false,Match,Zuzwil,Black,BMW,car,""
