BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,Properties,Seats,TransmissionTypeText
Silver,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,11,2002,Diesel,250,1015.0,schwarz,87800,Mercedes-Benz,ML 400,"\"Ab MFK\"",5,Automat
Violet,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,1074.0,schwarz,67400,Mercedes-Benz,E 50 AMG,"\"Ab MFK\"",5,Automat
Gray,Cabriolet,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,5,2002,Benzin,390,248.0,anthrazit,63000,Maserati,SPYDER GT,"\"Ab MFK\"",2,Automatik-Getriebe
Gray,Coupé,5338,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1991,Benzin,310,285.0,grün,68800,Aston Martin,Virage,"\"Ab MFK\"",4,Automatik-Getriebe
Black,Limousine,4966,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,10,1999,Benzin,299,675.0,schwarz,51000,Mercedes-Benz,S 500,"\"Ab MFK\"",5,Automat
Black,Limousine,2959,Zuzwil,296 g/km,Occasion,null,12.5 l/100km,4,Vorderradantrieb,2,1999,Benzin,226,712.0,grau,56400,Alfa Romeo,166,"\"Ab MFK\"",5,Automatik-Getriebe
Black,Coupé,3299,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1984,Benzin,300,805.0,schwarz,63500,Porsche,911,"\"Ab MFK\"",4,Schaltgetriebe manuell
Blue,Limousine,4163,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,4,Allrad,5,2006,Benzin,420,103.0,mehrfarbig,108200,Audi,RS4,"\"Ab MFK\"",5,Schaltgetriebe manuell
White,Coupé,5998,Zuzwil,410 g/km,Occasion,G,17.1 l/100km,2,Allrad,7,2004,Benzin,560,1123.0,mehrfarbig,79700,Bentley,CONTINENTAL,"\"Ab MFK\"",4,Automat
White,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,1,2003,Benzin,500,1143.0,rot,81000,Mercedes-Benz,SL 55 AMG,"\"Ab MFK\"",2,Automat
Yellow,Cabriolet,6747,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1987,Benzin,0,216.0,schwarz,19720,Rolls-Royce,CORNICHE,"\"Ab MFK\"",4,Automatik-Getriebe
Gray,Cabriolet,3498,Zuzwil,255 g/km,Occasion,null,10.6 l/100km,2,Hinterradantrieb,3,2008,Benzin,272,361.0,schwarz,70400,Mercedes-Benz,SLK 350,"\"Ab MFK\"",2,Automatik-Getriebe
Blue,Cabriolet,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,3,2003,Benzin,390,97.0,grau,49300,Maserati,SPYDER GT,"\"Ab MFK\"",2,Automatik-Getriebe
Blue,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,3,2003,Benzin,450,23.0,schwarz,121000,Porsche,CAYENNE,"\"Ab MFK\"",5,Automat sequentiell
Gray,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,1,2006,Benzin,612,302.0,schwarz,19800,Mercedes-Benz,CL 65 AMG,"\"Ab MFK\"",4,Automat sequentiell
Gray,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,5,1999,Benzin,306,311.0,grau,32700,Mercedes-Benz,S 500,"\"Ab MFK\"",5,Automat
Black,Limousine,4395,Zuzwil,278 g/km,Occasion,G,11.9 l/100km,4,Allrad,10,2009,Benzin,408,618.0,mehrfarbig,45000,Bmw,750,"\"Ab MFK\"",5,Automat
Black,Kombi,5340,Safenwil,null,Occasion,null,null,4,Hinterradantrieb,3,1987,Benzin,300,666.0,grau,39000,Aston Martin,LAGONDA,"\"Ab MFK\"",4,Automatik-Getriebe
White,Cabriolet,4244,Zuzwil,430 g/km,Occasion,G,18.6 l/100km,2,Hinterradantrieb,5,2003,Benzin,390,1082.0,braun,78300,Maserati,SPYDER GT,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
Blue,Limousine,6749,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,4,1990,Benzin,320,27.0,blau,112500,Bentley,TURBO,"\"Ab MFK\"",5,Automat
Red,Limousine,4941,Zuzwil,336 g/km,Occasion,G,13.9 l/100km,4,Hinterradantrieb,4,1999,Benzin,400,476.0,braun,29800,Bmw,M5,"\"Ab MFK\"",5,Schaltgetriebe manuell
Blue,Cabriolet,1295,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,60,48.0,schwarz,38000,Triumph,Spitfire,"\"Ab MFK\"",2,Schaltgetriebe
Silver,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,7,2004,Benzin,360,921.0,null,88000,Bmw,M3,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
White,Coupé,3497,Zuzwil,null,Occasion,null,null,0,null,5,1996,null,550,1132.0,grau,25000,Jaguar,XJ 220,"\"Ab MFK\"",2,Schaltgetriebe
Red,Limousine,3744,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,6,1978,Benzin,196,480.0,mehrfarbig,30900,Rolls-Royce,Silver Shadow,"\"Ab MFK\"",5,Automatik-Getriebe
Red,Coupé,3600,Zuzwil,null,Occasion,null,null,2,null,1,2001,Benzin,370,489.0,schwarz,21100,Porsche,911,"\"Ab MFK\"",2,null
Black,Limousine,1990,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1974,Benzin,170,589.0,schwarz,134000,Bmw,2002,"\"Ab MFK\"",4,Schaltgetriebe manuell
Black,SUV / Geländewagen,4921,Zuzwil,333 g/km,Occasion,G,12.6 l/100km,5,Allrad,4,2008,Diesel,351,688.0,schwarz,108500,Vw,TOUAREG,"\"Ab MFK\", \"Tuning\"",5,Automat
Black,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,6,2003,Benzin,450,780.0,braun,41100,Audi,RS6,"\"Ab MFK\"",5,Automat sequentiell
White,SUV / Geländewagen,4966,Zuzwil,319 g/km,Occasion,G,13.4 l/100km,5,Allrad,12,2005,Benzin,306,1105.0,schwarz,37500,Mercedes-Benz,ML 500,"\"Ab MFK\"",5,Automat sequentiell
Blue,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,10,2008,Benzin,580,116.0,schwarz,79700,Audi,RS6,"\"Ab MFK\"",5,Automat
Gray,Cabriolet,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2003,Benzin,390,282.0,schwarz,50300,Maserati,SPYDER GT,"\"Ab MFK\"",2,Automatik-Getriebe
Black,Coupé,3996,Sursee,326 g/km,Occasion,G,13.8 l/100km,2,Hinterradantrieb,11,2011,Benzin,500,557.0,rot,6300,Porsche,911,null,2,Schaltgetriebe manuell
Black,Limousine,4999,Zuzwil,357 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,5,2005,Benzin,503,585.0,weiss,21700,Bmw,M5,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
Blue,Coupé,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,2005,Benzin,626,71.0,rot,26400,Mercedes-Benz,SLR,"\"Ab MFK\"",2,Automatik-Getriebe
Blue,Coupé,2492,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,8,1984,Benzin,160,75.0,schwarz,75000,Alfa Romeo,GTV,null,4,Schaltgetriebe manuell
Silver,Kombi,4172,Zuzwil,null,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,954.0,schwarz,46900,Audi,RS6,"\"Ab MFK\"",5,Automat sequentiell
White,Cabriolet,1798,Zuzwil,174 g/km,Occasion,G,7.3 l/100km,2,Hinterradantrieb,3,2007,Benzin,126,1126.0,schwarz,6900,Mazda,MX-5,"\"Ab MFK\"",2,Schaltgetriebe manuell
Yellow,Limousine,3199,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,4,1999,Benzin,224,231.0,schwarz,128000,Mercedes-Benz,S 320,"\"Ab MFK\"",5,Automat
Other,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1996,Benzin,320,43.0,blau,34000,Mercedes-Benz,SL 500,"\"Ab MFK\"",0,Automat
Red,Limousine,3498,Zuzwil,253 g/km,Occasion,G,10.6 l/100km,4,Allrad,11,2006,Benzin,272,475.0,schwarz,43700,Mercedes-Benz,C 350,"\"Ab MFK\"",5,Automat
Black,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2009,Benzin,700,570.0,schwarz,29500,Audi,RS6,"\"Ab MFK\"",5,Automat
Silver,SUV / Geländewagen,4921,Zuzwil,332 g/km,Occasion,G,12.3 l/100km,5,Allrad,11,2003,Diesel,313,845.0,schwarz,117800,Vw,TOUAREG,"\"Ab MFK\"",5,Automat
Blue,Limousine,5998,Zuzwil,334 g/km,Occasion,G,13.9 l/100km,4,Allrad,7,2004,Benzin,450,186.0,schwarz,49000,Audi,A8,"\"Ab MFK\"",5,Automat sequentiell
Gray,Limousine,4196,Zuzwil,314 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,7,2002,Benzin,396,247.0,schwarz,32900,Jaguar,S-TYPE,"\"Ab MFK\"",5,Automat
Other,Coupé,3208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1977,Benzin,200,413.0,mehrfarbig,128600,Bmw,633,"\"Ab MFK\"",4,Automatik-Getriebe
Blue,Kombi,2671,Zuzwil,274 g/km,Occasion,null,11.4 l/100km,5,Allrad,7,2000,Benzin,265,45.0,grau,185900,Audi,S4,"\"Ab MFK\"",5,Schaltgetriebe manuell
Black,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2007,Benzin,385,595.0,schwarz,35500,Aston Martin,V8 Vantage,"\"Ab MFK\"",2,Schaltgetriebe manuell
Silver,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,4,2000,Benzin,354,871.0,beige,42300,Bentley,ARNAGE,"\"Ab MFK\"",5,Automat
Silver,Cabriolet,5956,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1991,Benzin,380,926.0,blau,98000,Mercedes-Benz,SL 500,"\"Ab MFK\"",4,Automatik-Getriebe
White,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,3,2004,Benzin,450,1153.0,schwarz,55000,Audi,RS6,"\"Ab MFK\"",5,Automat sequentiell
Blue,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,612,34.0,schwarz,97300,Mercedes-Benz,S 65 AMG,"\"Ab MFK\"",5,Automat sequentiell
Red,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,9,2003,Benzin,450,453.0,beige,47000,Audi,RS6,"\"Ab MFK\"",5,Automat sequentiell
