ID,MakeText,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
688.0,VW,TOUAREG,schwarz mét.,SUV / Geländewagen,4921,Zuzwil,333 g/km,Occasion,G,12.6 l/100km,5,Allrad,4,2008,Diesel,351,schwarz,108500,5,Automat,black,12.6,l/100km
780.0,AUDI,RS6,schwarz mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,6,2003,Benzin,450,braun,41100,5,Automat sequentiell,black,14.6,l/100km
1105.0,MERCEDES-BENZ,ML 500,weiss,SUV / Geländewagen,4966,Zuzwil,319 g/km,Occasion,G,13.4 l/100km,5,Allrad,12,2005,Benzin,306,schwarz,37500,5,Automat sequentiell,white,13.4,l/100km
116.0,AUDI,RS6,blau mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,10,2008,Benzin,580,schwarz,79700,5,Automat,blue,14.0,l/100km
282.0,MASERATI,SPYDER GT,grau mét.,Cabriolet,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2003,Benzin,390,schwarz,50300,2,Automatik-Getriebe,grey,17.5,l/100km
557.0,PORSCHE,911,schwarz,Coupé,3996,Sursee,326 g/km,Occasion,G,13.8 l/100km,2,Hinterradantrieb,11,2011,Benzin,500,rot,6300,2,Schaltgetriebe manuell,black,13.8,l/100km
585.0,BMW,M5,schwarz,Limousine,4999,Zuzwil,357 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,5,2005,Benzin,503,weiss,21700,5,Automatisiertes Schaltgetriebe,black,14.8,l/100km
71.0,MERCEDES-BENZ,SLR,blau,Coupé,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,2005,Benzin,626,rot,26400,2,Automatik-Getriebe,blue,null,""
75.0,ALFA ROMEO,GTV,blau,Coupé,2492,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,8,1984,Benzin,160,schwarz,75000,4,Schaltgetriebe manuell,blue,null,""
954.0,AUDI,RS6,silber mét.,Kombi,4172,Zuzwil,null,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,schwarz,46900,5,Automat sequentiell,silver,14.6,l/100km
1126.0,MAZDA,MX-5,weiss,Cabriolet,1798,Zuzwil,174 g/km,Occasion,G,7.3 l/100km,2,Hinterradantrieb,3,2007,Benzin,126,schwarz,6900,2,Schaltgetriebe manuell,white,7.3,l/100km
231.0,MERCEDES-BENZ,S 320,gelb,Limousine,3199,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,4,1999,Benzin,224,schwarz,128000,5,Automat,gelb,11.5,l/100km
43.0,MERCEDES-BENZ,SL 500,beige mét.,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1996,Benzin,320,blau,34000,0,Automat,beige,null,""
475.0,MERCEDES-BENZ,C 350,rot,Limousine,3498,Zuzwil,253 g/km,Occasion,G,10.6 l/100km,4,Allrad,11,2006,Benzin,272,schwarz,43700,5,Automat,red,10.6,l/100km
